Event,Date,White,Black,Result,WhiteElo,BlackElo,ECO,SpeedChess
Magnus Carlsen Inv KO,2021-03-21,Nepo,Giri,1/2-1/2,2789,2776,B97,1
Magnus Carlsen Inv KO,2021-03-21,So,Carlsen,0-1,2770,2847,E20,1
Magnus Carlsen Inv KO,2021-03-21,Giri,Nepo,1-0,2776,2789,B48,1
Magnus Carlsen Inv KO,2021-03-21,Carlsen,So,1/2-1/2,2847,2770,B52,1
Magnus Carlsen Inv KO,2021-03-21,Nepo,Giri,1/2-1/2,2789,2776,B97,1
Magnus Carlsen Inv KO,2021-03-21,So,Carlsen,1/2-1/2,2770,2847,A20,1
Magnus Carlsen Inv KO,2021-03-21,Giri,Nepo,0-1,2776,2789,B30,1
Magnus Carlsen Inv KO,2021-03-21,Giri,Nepo,1-0,2776,2789,C02,1
Magnus Carlsen Inv KO,2021-03-21,Nepo,Giri,0-1,2789,2776,A01,1
Magnus Carlsen Inv KO,2021-03-20,Giri,Nepo,1/2-1/2,2776,2789,B40,1
Magnus Carlsen Inv KO,2021-03-20,Carlsen,So,1-0,2847,2770,C46,1
Magnus Carlsen Inv KO,2021-03-20,Nepo,Giri,1/2-1/2,2789,2776,B97,1
Magnus Carlsen Inv KO,2021-03-20,So,Carlsen,1/2-1/2,2770,2847,C88,1
Magnus Carlsen Inv KO,2021-03-20,Giri,Nepo,1/2-1/2,2776,2789,B48,1
Magnus Carlsen Inv KO,2021-03-20,Carlsen,So,1/2-1/2,2847,2770,C46,1
Magnus Carlsen Inv KO,2021-03-20,Nepo,Giri,1/2-1/2,2789,2776,B97,1
Magnus Carlsen Inv KO,2021-03-20,So,Carlsen,0-1,2770,2847,C53,1
Magnus Carlsen Inv KO,2021-03-19,Nepo,Carlsen,1/2-1/2,2789,2847,C84,1
Magnus Carlsen Inv KO,2021-03-19,So,Giri,1/2-1/2,2770,2776,B51,1
Magnus Carlsen Inv KO,2021-03-19,Carlsen,Nepo,0-1,2847,2789,D35,1
Magnus Carlsen Inv KO,2021-03-19,Giri,So,1/2-1/2,2776,2770,C67,1
Magnus Carlsen Inv KO,2021-03-19,Nepo,Carlsen,0-1,2789,2847,B40,1
Magnus Carlsen Inv KO,2021-03-19,So,Giri,1/2-1/2,2770,2776,A48,1
